Number	URL	HTTP_code	Encoding	Words
1	https://fr.wikipedia.org/wiki/Robot	HTTP/2 200 	content-type: text/html; charset=UTF-8	5681
2	https://fr.wikipedia.org/wiki/Robot_de_cuisine	HTTP/2 200 	content-type: text/html; charset=UTF-8	1161
3	fr.wikipedia.org/wiki/Robot_d%27indexation	HTTP/1.1 301 Moved PermanentlyHTTP/2 200 	content-type: text/html; charset=UTF-8	1765
4	https://fr.wikipedia.org/wiki/Bot_informatique	HTTP/2 200 	content-type: text/html; charset=UTF-8	2583
5	https://fr.wikipedia.org/wiki/Atlas_(robot)	HTTP/2 200 	content-type: text/html; charset=UTF-8	1167
6	https://roboty.magistry.fr			0
7	https://fr.wikipedia.org/wiki/Robot_(Leonard_de_Vinci)	HTTP/2 404 	content-type: text/html; charset=UTF-8	440
8	https://fr.wiktionary.org/wiki/robot	HTTP/2 429 	content-type: text/html; charset=utf-8	4807
9	https://fr.wikipedia.org/wiki/Protocole_d%27exclusion_des_robots	HTTP/2 200 	content-type: text/html; charset=utf-8	1058
10	https://fr.wikipedia.org/wiki/Robotique	HTTP/2 429 	content-type: text/html; charset=utf-8	13025
